time,latitude,longitude,depth,temperature
2016-06-29 04:00:00+00:00,27.4942,128.2972,2.0,28.49
2016-06-29 04:00:00+00:00,27.4942,128.2972,4.0,28.465
2016-06-29 04:00:00+00:00,27.4942,128.2972,6.0,28.293
2016-06-29 04:00:00+00:00,27.4942,128.2972,27.0,28.133
2016-06-29 04:00:00+00:00,27.4942,128.2972,40.0,27.776
2016-06-29 04:00:00+00:00,27.4942,128.2972,43.0,27.445
2016-06-29 04:00:00+00:00,27.4942,128.2972,45.0,26.697
2016-06-29 04:00:00+00:00,27.4942,128.2972,48.0,26.045
2016-06-29 04:00:00+00:00,27.4942,128.2972,49.0,25.726
2016-06-29 04:00:00+00:00,27.4942,128.2972,53.0,25.36
2016-07-01 04:00:00+00:00,28.2054,127.3213,2.0,29.63
2016-07-01 04:00:00+00:00,28.2054,127.3213,3.0,29.69
2016-07-01 04:00:00+00:00,28.2054,127.3213,4.0,29.588
2016-07-01 04:00:00+00:00,28.2054,127.3213,5.0,29.562
2016-07-01 04:00:00+00:00,28.2054,127.3213,6.0,29.56
2016-07-01 20:00:00+00:00,28.7401,127.6545,2.0,29.55
2016-07-01 20:00:00+00:00,28.7401,127.6545,13.0,29.209
2016-07-01 20:00:00+00:00,28.7401,127.6545,26.0,26.917
2016-07-01 20:00:00+00:00,28.7401,127.6545,38.0,26.1
2016-07-01 20:00:00+00:00,28.7401,127.6545,71.0,24.479
2016-07-01 20:00:00+00:00,28.7401,127.6545,91.0,23.906
2016-07-01 20:00:00+00:00,28.7401,127.6545,118.0,22.321
2016-07-01 20:00:00+00:00,28.7401,127.6545,150.0,21.175
2016-07-01 20:00:00+00:00,28.7401,127.6545,187.0,18.933
2016-07-01 20:00:00+00:00,28.7401,127.6545,249.0,17.36
2016-07-02 20:00:00+00:00,29.4231,127.9297,2.0,27.96
2016-07-02 20:00:00+00:00,29.4231,127.9297,16.0,27.865
2016-07-02 20:00:00+00:00,29.4231,127.9297,24.0,27.412
2016-07-02 20:00:00+00:00,29.4231,127.9297,29.0,26.971
2016-07-02 20:00:00+00:00,29.4231,127.9297,32.0,26.217
2016-07-02 20:00:00+00:00,29.4231,127.9297,38.0,26.113
2016-07-02 20:00:00+00:00,29.4231,127.9297,39.0,25.545
2016-07-02 20:00:00+00:00,29.4231,127.9297,42.0,25.601
2016-07-02 20:00:00+00:00,29.4231,127.9297,43.0,25.044
2016-07-02 20:00:00+00:00,29.4231,127.9297,45.0,25.0
2016-07-04 08:00:00+00:00,29.9258,127.9246,2.0,29.0
2016-07-04 08:00:00+00:00,29.9258,127.9246,19.0,28.24
2016-07-04 08:00:00+00:00,29.9258,127.9246,21.0,27.455
2016-07-04 08:00:00+00:00,29.9258,127.9246,22.0,27.622
2016-07-04 08:00:00+00:00,29.9258,127.9246,26.0,25.852
2016-07-04 08:00:00+00:00,29.9258,127.9246,28.0,25.526
2016-07-04 08:00:00+00:00,29.9258,127.9246,60.0,22.938
2016-07-04 08:00:00+00:00,29.9258,127.9246,66.0,22.287
2016-07-04 08:00:00+00:00,29.9258,127.9246,69.0,21.268
2016-07-04 08:00:00+00:00,29.9258,127.9246,73.0,20.65
2016-07-05 08:00:00+00:00,30.2389,127.5491,2.0,28.55
2016-07-05 08:00:00+00:00,30.2389,127.5491,9.0,26.059
2016-07-05 08:00:00+00:00,30.2389,127.5491,22.0,25.523
2016-07-05 08:00:00+00:00,30.2389,127.5491,28.0,22.991
2016-07-05 08:00:00+00:00,30.2389,127.5491,51.0,22.289
2016-07-05 08:00:00+00:00,30.2389,127.5491,69.0,20.335
2016-07-05 08:00:00+00:00,30.2389,127.5491,92.0,19.207
2016-07-05 08:00:00+00:00,30.2389,127.5491,114.0,16.992
2016-07-05 08:00:00+00:00,30.2389,127.5491,121.0,14.831
2016-07-05 08:00:00+00:00,30.2389,127.5491,134.0,14.79
2016-07-05 16:00:00+00:00,30.3998,127.3897,2.0,28.21
2016-07-05 16:00:00+00:00,30.3998,127.3897,8.0,26.048
2016-07-05 16:00:00+00:00,30.3998,127.3897,23.0,23.093
2016-07-05 16:00:00+00:00,30.3998,127.3897,39.0,22.193
2016-07-05 16:00:00+00:00,30.3998,127.3897,41.0,22.623
2016-07-05 16:00:00+00:00,30.3998,127.3897,70.0,19.413
2016-07-05 16:00:00+00:00,30.3998,127.3897,102.0,17.775
2016-07-05 16:00:00+00:00,30.3998,127.3897,106.0,16.62
2016-07-05 16:00:00+00:00,30.3998,127.3897,108.0,14.82
2016-07-05 16:00:00+00:00,30.3998,127.3897,127.0,14.78
2016-07-06 00:00:00+00:00,30.4823,127.295,2.0,28.17
2016-07-06 00:00:00+00:00,30.4823,127.295,5.0,28.068
2016-07-06 00:00:00+00:00,30.4823,127.295,15.0,24.176
2016-07-06 00:00:00+00:00,30.4823,127.295,30.0,21.428
2016-07-06 00:00:00+00:00,30.4823,127.295,62.0,18.63
2016-07-06 00:00:00+00:00,30.4823,127.295,96.0,18.287
2016-07-06 00:00:00+00:00,30.4823,127.295,101.0,17.587
2016-07-06 00:00:00+00:00,30.4823,127.295,102.0,16.086
2016-07-06 00:00:00+00:00,30.4823,127.295,104.0,15.488
2016-07-06 00:00:00+00:00,30.4823,127.295,119.0,15.45
2016-07-07 12:00:00+00:00,30.89,126.9472,2.0,27.53
2016-07-07 12:00:00+00:00,30.89,126.9472,9.0,27.293
2016-07-07 12:00:00+00:00,30.89,126.9472,14.0,23.683
2016-07-07 12:00:00+00:00,30.89,126.9472,18.0,22.447
2016-07-07 12:00:00+00:00,30.89,126.9472,21.0,20.083
2016-07-07 12:00:00+00:00,30.89,126.9472,27.0,19.222
2016-07-07 12:00:00+00:00,30.89,126.9472,30.0,17.947
2016-07-07 12:00:00+00:00,30.89,126.9472,37.0,17.64
2016-07-07 12:00:00+00:00,30.89,126.9472,42.0,18.105
2016-07-07 12:00:00+00:00,30.89,126.9472,100.0,17.947
2016-07-08 16:00:00+00:00,31.3286,126.7705,2.0,26.93
2016-07-08 16:00:00+00:00,31.3286,126.7705,9.0,26.039
2016-07-08 16:00:00+00:00,31.3286,126.7705,13.0,23.46
